Psalm	Sources	Type	Title	First Line	Meter	Tune
119:121-128A	Mant, Richard	Text	Truth, LORD, and Justice	Truth, LORD, and justice rule my life	8.8.8.8 LM	N/A
119:121-128B	Book of Psalms for Worship, The (2010)|Repository of Sacred Music II (John Wyeth)	Music	I've Judged Rightly	I've judged rightly and with justice	8.7.8.7 D	NETTLETON
119:129-136A	Sing Psalms (2003)	Text	Your Statutes, LORD, Are Wonderful	Your statutes, LORD, are wonderful	8.8.8.8 LM	N/A
119:129-136B	Gläser, Carl G.|Regier, David P.	Music	O LORD, Your Ways Are Wonderful	O LORD, Your ways are wonderful	8.6.8.6 CM	AZMON
119:137-144A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Righteous Are You, O LORD	Righteous are You, O LORD, and just	8.8.8.8 LM	N/A
119:137-144B	Regier, David P.|Schleische Volkslieder	Music	LORD, You Are Righteous	LORD, You are righteous, true in Your judgments	5.5.8.5.5.8	CRUSADERS' HYMN
119:145-152A	Scottish Metrical Psalter (1650)	Text	With My Whole Heart	With my whole heart I cried, LORD, hear	8.6.8.6 CM	N/A
119:145-152B	Book of Psalms for Worship, The (2010)|Repository of Sacred Music II (John Wyeth)	Music	I Cry with My Whole Heart	I cry with my whole heart, O LORD, answer me	11.8.11.8	DAVIS
119:153-160A	Mant, Richard	Text	Regard My Woes	Regard my woes, relieve my pains	8.8.8.8 LM	N/A
119:153-160B	Book of Psalms for Worship, The (2010)|Mason, Lowell	Music	My Grief Regard	My grief regard, and rescue me	8.8.8.8 LM	HAMBURG
119:161-168A	Psalter Hymnal, The (1912)	Text	Though Mighty Foes Assail Me, LORD	Though mighty foes assail me, LORD	8.6.8.6 CM	N/A
119:161-168B	Hutcheson, Charles|Regier, David P.	Music	The Mighty Vex Me Without Cause	The mighty vex me without cause	8.6.8.6 CM	ARGYLE
119:169-176A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	LORD, Let My Cry Before Thee Rise	LORD, let my cry before Thee rise	8.8.8.8 LM	N/A
119:169-176B	Regier, David P.|Warren, Samuel P.	Music	Let My Cry Come Before You, O LORD	Let my cry come before You, O LORD	5.4.5.4 D	MONICA
120A	Book of Psalms for Worship, The (2010)|Finlay, K.G.	Music	I Cried in Trouble to the LORD	I cried in trouble to the LORD	8.6.8.6 CM	AYRSHIRE
120B	Burleigh, Harry T.|Scottish Metrical Psalter (1650)	Music	In My Distress To God I Cried	In my distress to God I cried	8.6.8.6 CM	McKEE
121A	Psalms Project, The	Music	He Watches Over You	I lift my eyes unto the hills	IRREGULAR	N/A
121B	Scottish Metrical Psalter (1650)	Text	I to the Hills Will Lift My Eyes	I to the hills will lift my eyes	8.6.8.6 CM	N/A
121C	Kauflin, Bob|Zimmer, David	Music	He Will Keep You	I lift my eyes and see	IRREGULAR	N/A
121D	Monk, William H.|Regier, David P.	Music	I Will Lift Up My Eyes unto the Hills	I will lift up my eyes unto the hills	10.10.10.10	EVENTIDE
122A	Lyte, Henry Francis	Text	Sweet Is the Solemn Voice that Calls	Sweet is the solemn voice that calls	8.8.8.8 LM	N/A
122B	Hopson, Hal H.|Psalter Hymnal, The (1912)|Vaughan Williams, Ralph	Music	With Joy I Heard My Friends Exclaim	With joy I heard my friends exclaim	8.8.8.8 LM REFRAIN	SUSSEX CAROL
122C	Finney, John W.|Sing Psalms (2003)	Music	To the LORD's House!	To the LORD's house!	8.7.8.7.8.7	N/A
123A	Regier, David P.	Music	LORD, Unto You I Lift My Eyes	LORD unto You I lift my eyes	8.8.8.8 LM	O WALY WALY
123B	Ferry, Kaitlyn|Lowry, Robert	Music	I Lift My Eyes	As servants watch their master's hand	8.8.8.8 LM REFRAIN	N/A
123C	Watts, Isaac	Text	O Thou Whose Grace and Justice Reign	O Thou whose grace and justice reign	8.6.8.6 CM	N/A
123D	Bulls, D.J.|Shipp, Mark	Music	To You I Lift Up My Eyes	To You, I lift Up My Eyes	IRREGULAR	N/A
123E	Psalter Hymnal, The (1912)	Text	To Thee, O LORD, I lift my eyes	To Thee, O LORD, I lift my eyes	8.8.8.8 LM	N/A
124A	Kimbrough, Wendell|Regier, David P.	Music	Had It Not Been for the LORD With Us	Had it not been for the LORD with us	IRREGULAR	N/A
125A	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	All Who, With Heart Confiding	All who, with heart confiding, depend on God alone	7.6.7.6 D	NEW PSALM 125
125B	Cooke, W.H.|Idle, Christopher	Music	Those Who Rely on the LORD	Those who rely on the LORD are unshakable	12.10.12.10	SANCTISSIMUS
126A	Watts, Isaac	Text	When God Revealed His Gracious Name	When God revealed His gracious name	8.6.8.6 CM	N/A
126B	Wardell, Isaac	Music	Restore Us O LORD	Our mouths they were filled	IRREGULAR	N/A
126C	Davies, Matthew|Parson, Molly|Preston, David G.	Text	A Captive Long	A captive long 'neath sense and sin	8.6.8.6 CM	GODRE'R COED
126D	Lyte, Henry Francis	Music	The LORD Restored Us	The LORD restored us we were freed	8.6.8.6 CM	N/A
127A	Psalter Hymnal, The (1912)|Repository of Sacred Music II (John Wyeth)	Text	Unless the LORD the House Shall Build	Unless the LORD the house shall build	8.7.8.7 D	NETTLETON
127B	Auber, Harriet	Music	Vainly Through the Night	Vainly through the night the ranger	8.7.8.7 D	NETTLETON
128A	Hopp, Roy|Leckebusch, Martin	Music	Whoever Fears the LORD	Whoever fears the LORD and lives as God intends	6.6.6.6 D	OLD DOMINION
128B	Book of Psalms for Worship, The (2010)|Burleigh, Harry T.	Music	How Bless'd Are All Who Fear the LORD	How bless'd are all who fear the LORD	8.6.8.6 CM	McKEE
129A	Clarke, Jeremiah|Sing Psalms (1997)	Music	They Have Oppressed Me	They have oppressed me from you youth	8.8.8.8 LM	UFFINGHAM
130A	Luther, Martin|Wilbur, Gregory D.	Music	From Depths of Woe	From depths of woe, I raise to Thee	8.7.8.7.8.8.7.7	DEPTHS OF WOE
130B	Ryland, John|Wilson, Hugh|Watts, Isaac	Text	Out Of the Depths of Doubt and Fear	Out of the depths of doubt and fear	8.6.8.6 CM	N/A
130C	Sing Psalms (2003)	Music	LORD, from the Depths	LORD, from the depths	8.6.8.6 CM	MARTYRDOM
131A	Metheny, S.A. Sterrett	Music	My Heart Is Not Exalted, LORD	My heart is not exalted, LORD	8.6.8.6 CM	HUMILITY
131B	Sing Psalms (2003)|Warren, Norman L.	Music	My Heart's Not Proud	My heart's not proud, O LORD	6.6.8.6 SM	UNITED MAN
131C	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Text	O LORD, I Am Not Proud	O LORD, I am not proud of heart	8.6.8.6 CM	N/A
132A	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	Arise, O LORD	Arise, O LORD, our God arise	8.8.8.8 LM	ARISE O LORD
132B	Scheer, Greg|Watts, Isaac	Music	Arise, O King of Grace, Arise	Arise, O King of grace, arise	8.6.8.6 CM REFRAIN	N/A
132C	Lyte, Henry Francis	Text	In This Wide, Weary World of Care	In this wide, weary world of care	8.8.8.8 LM	N/A
133A	Psalter Hymnal, The (1912)	Text	How Pleasant and How Good It Is	How pleasant and how good it is	8.6.8.6 CM	N/A
133B	Sing Psalms (2003)	Music	How Excellent a Thing It Is	How excellent a thing it is	8.6.8.6 CM	CAMPMEETING
134A	Bourgeois, Louis|Lamberts, Lambertus J.	Music	Come Bless the LORD With One Accord	Come, bless the LORD with one accord	8.8.8.8 LM	OLD HUNDREDTH
134B	Deans, Graham D.S.	Text	Come now with Joyful Hearts	Come now with joyful hearts	6.6.8.6 SM	N/A
134C	Anderson, Fred R.	Music	O Bless the LORD with Joyful Song	O bless the LORD with joyful song	8.6.8.6 CM	LAND OF REST
134D	Anderson, Fred R.|Lyte, Henry Francis	Text	Praise God on High Be Given	Praise to God on high be given	7.7.7.7.7.7	N/A
135A	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	Exalt the LORD	Exalt the LORD, His praise proclaim	8.8.8.8 LMD	NEW PSALM 135
135B	Ezikian, Dana|Ezikian, Ethan|Hochhalter, Aaron|Hochhalter, Matthew	Music	Come and Praise	Come and praise the LORD, oh people	IRREGULAR	N/A
135C	Psalter Hymnal, The (1912)	Text	O Praise Ye the Name of Jehovah	O praise ye the name of Jehovah	9.8.9.8	N/A
136A	Trinity Psalter Hymnal OPC/URCNA, 2018	Music	O Thank the LORD, for He Is Good	O thank the LORD for He is good	8.7.8.7 D	LOCH LOMOND
136B	Watts, Isaac	Music	Give Thanks to God the Sovereign LORD	Give thanks to God the sovereign LORD	8.6.8.6 CM	AULD LANG SYNE
136C	Psalter Hymnal, The (1912)|Sing Psalms (2003)	Text	Praise Jehovah for His Love	Praise Jehovah for His love	7.7.7.7.7.7	N/A
137A	Bradbury, William B.|Psalter Hymnal, The (1976)	Music	By Babel's Streams We Sat and Wept	By Babel's steams we sat and wept	8.8.8.8 LM	OLIVE'S BROW
137B	Perry, Michael|Strutt, Richard	Music	By Rivers of Sorrow	By rivers of sorrow we sat and remembered	12.11.12.11	ST. CATHERINE'S COURT
138A	Bradbury, William B.|Psalter Hymnal, The (1912)	Music	With Grateful Heart My Thanks I Bring	With grateful heart my thanks I bring	8.8.8.8.8.8	SOLID ROCK
138B	Sing Psalms (2003)	Text	I'll Praise You, LORD	I'll praise You, LORD, with all my heart	8.8.8.8 LM	N/A
138C	Searles, Matt	Music	With All My Heart I'll Praise You	With all my heart I'll praise You	7.7.7.9	N/A
139A	Lyte, Henry Francis	Text	From Thee, O LORD	From Thee, O LORD, I came at first	8.6.8.6 CM	N/A
139B	Roever, Ulirich|Watts, Isaac	Text	LORD, You Have Searched	LORD, You have search'd and seen me through	8.8.8.8 LM	N/A
139C	Ortega, Fernando|Rubenstein, Elaine J.|Schreiner, John Andrew	Music	LORD, You Read my Very Heart	LORD, You read my very heart	7.6.7.6 D	N/A
139D	Korb, Michael|Pitt-Watson, Ian	Music	You Are Before Me LORD	You are before me, LORD You are behind	10.10.10.10	HIGHLAND CATHEDRAL
139E	Psalter Hymnal, The (1912)	Text	All That I Am I Owe to Thee	All that I am I owe to Thee	8.8.8.8 LM	N/A
140A	McKenna, Jered	Music	Deliver Me from Evil	Deliver me from evil	7.6.7.6 D	N/A
140B	Maries, Andrew|Psalter Hymnal, The (1912)|Witvoet, Bert	Music	Deliver Me From Evil, Defend Me	Deliver me from evil, defend me, LORD	7.6.7.6 D	BLACKDOWN
140C	Whole Book of Psalms, The (Thomas Sternhold and John Hopkins)	Text	LORD, Save Me	LORD, save me from the evil man	8.6.8.6 CM	N/A
141A	Sing Psalms (2003)|Williams, Aaron	Music	O LORD, I Call to You	O LORD, I call to You	6.6.8.6 SM	ST. THOMAS
141B	Baker, Henry|Beaumont, John|Post, Marie J.	Music	O LORD Come Quickly Hear Me Pray	O LORD, come quickly, hear me pray with lifted hands	8.8.8.8 LM	QUEBEC
142A	Mason, Lowell|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	I Cry for Mercy to the LORD	I cry for mercy to the LORD	8.8.8.8 LM	ROCKINGHAM
143A	Finlay, K.G.|Preston, David G.	Music	Hear Me, O LORD, In My Distress	Hear me, O LORD in my distress	8.8.8.8 LM	FINNART
143B	Ireland, John|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	Hear Now My Prayer, LORD	Hear now my prayer, O LORD	6.6.6.6.8.8	LOVE UNKNOWN
144A	Ninnis, Peter|Sheppard, Franklin L.	Music	I'll Praise the LORD, My Rock	I'll praise the LORD, my rock	6.6.8.6 SMD	TERRA BEATA
144B	Book of Psalms for Worship, The (2010)|Edison, Lewis	Music	O God, In Praise to You	O God, in praise to You, A new song I will sing	6.6.6.6.8.8.8	LENOX
145A	Parry, C. Hubert H.|Psalter Hymnal, The (1912)	Music	I Will Exalt My God and King	I will exalt my God and King	8.8.8.8 LMD	JERUSALEM
145B	Ingalls, Jeremiah|Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	O LORD, You Are My God and King	O LORD, You are my God and King	8.8.8.8 LMD	SOCIAL BAND
145C	Steele, Anne	Text	My God, My King	My God, my king, to Thee I'l raise	8.6.8.6 CM	N/A
145D	Scheer, Greg	Music	We Will Extol You, God and King	We will extol You, God and King	IRREGULAR	SCARECROW
146A	Steele, Anne	Text	Ye Sons of Zion	Ye sons of Zion, praise the LORD	8.8.8.8 LM	N/A
146B	Andrews, Mark|Regier, David P.	Music	While I Live, My Soul Shall Praise Him	While I live, my soul shall praise Him	8.7.8.7.8.7	ANDREWS
146C	Pearson, Stephen	Music	Praise the LORD, Praise the LORD, My Soul!	Praise the LORD, praise the LORD, my soul!	IRREGULAR	N/A
146D	Sing Psalms (2003)	Text	Praise the LORD	Praise the LORD, my soul!	8.7.8.7	N/A
147A	Psalter Hymnal, The (1912)	Text	Praise ye the LORD	Praise ye the LORD, for it is good	8.6.8.6 CMD	N/A
147B	Preston, David G.|Psalter Hymnal, The (1987)|Webb, Philip	Music	O Praise the LORD! Sing Praises!	O praise the LORD! Sing praises!	7.6.7.6 D	IRIS
147C	Sing Psalms (2003)|Stockton, John H.	Music	O Praise the LORD! How Good it Is	O Praise the LORD! How good it is	6.6.8.6 SMD	MINERVA
147D	Lyte, Henry Francis	Text	O Praise the LORD	O praise the LORD, ‘tis sweet to raise	8.8.8.8 LM	N/A
148A	Stiff, Nathan	Music	Praise His Name	Reaches of heaven starry heights	IRREGULAR	N/A
148B	Kendrick, Graham	Music	Praise the LORD from the Heavens	Praise the LORD, from the heavens	IRREGULAR	N/A
149A	Lyte, Henry Francis|Spurgeon, Charles H.	Music	O Praise the LORD	O praise the LORD with heart and voice	10.10.10.10	THE ISLE OF MULL
149B	Croft, William|Psalter Hymnal, The (1912)	Music	Sing Praise to the LORD	Sing praise to the LORD; come, sing a new song	10.10.11.11	HANOVER
150A	Lyte, Henry Francis	Text	O Praise the LORD in That Bless'd Place	O Praise the LORD in that bless'd place	8.8.8.8 LM	N/A
150B	Hughes, John|Sing Psalms (2003)	Music	Praise God in His Holy Temple	Praise God in His holy temple	8.7.8.7.8.7 REPEATS	RHONDDA
150C	Webb, Philip|Wesley, Charles	Music	Praise Yahweh Who Reigns Above	Praise Yahweh who reigns above	IRREGULAR	JUDAH
